LookupString,Latitude,Longitude,GeoName
"Santa Catharina, Mexico",-26.9129657,-49.0606139,"Rua México, Ponta Aguda, Blumenau, Microrregião de Blumenau, Mesorregião do Vale do Itajaí, Santa Catarina, Região Sul, 89015-200, Brasil"
"Jalisco, Tuxcacuesco, Mexico",19.6966314,-103.9808394,"Calle México, Tuxcacuesco, Jalisco, 48770, México"
"El Peten, Altar De Sacrificios, Guatemala",0,0,
"Ixtlahuaca, Mexico",19.60141875,-99.81329173195388,"Ixtlahuaca, Estado de México, México"
"Quiché, Chichicastenango, Guatemala",14.943710449999998,-91.11329285000001,"Chichicastenango, Quiché, GUATEMALA, Guatemala"
"Yucatan, Chichen Itza, Mexico",0,0,
"Sonora, Topolobampo, Mexico",31.3005104,-110.9345588,"Topolobampo, Heroica Nogales, Municipio de Nogales, Sonora, 84074, México"
"San Simon, Mexico",18.9664951,-97.7110501,"San Simón, Quecholac, Puebla, 75460, México"
"Cartago, Costa Rica",9.7410738,-83.7122812,"Provincia Cartago, Costa Rica"
"Veracruz, Tuxpan, Mexico",20.95821,-97.4040543,"Túxpan, Tuxpan, Veracruz de Ignacio de la Llave, 92800, México"
"North Tlalmanalco, San Lorenzo Tlalmilmilpan, Mexico",0,0,
"Hidalgo, Zimapan, Mexico",20.7371825,-99.382348,"Hidalgo, Plutarco Elías Calles (Santiago), Zimapán, Hidalgo, México"
"Oaxaca, Tehuantepec Region, Mexico",0,0,
"Tabasco, Tecolpa, Mexico",0,0,
"El Peten, San Andrés, Guatemala",17.2708286,-90.8744237,"Río San Pedro (Guatemala-México), La Libertad, Petén, Guatemala"
"Chiapas, Puma Station, El Real, Mexico",19.1987222,-96.1701588,"Chiapas, Buenavista, Camino Real, Veracruz, Municipio de Veracruz, Veracruz de Ignacio de la Llave, 91850, México"
"Veracruz, Tempoal, Mexico",19.2085442,-96.2093245,"Tempoal, Torrentes, Fraccionamiento Costa Dorada, Colonia del Proletariado (Pica Pica), Municipio de Veracruz, Veracruz de Ignacio de la Llave, 91808, México"
"Oaxaca, Cerro De La Bomba, Mexico",0,0,
"Campeche, Jaina, Mexico",0,0,
"West Mexico, Colima, Mexico",19.8088127,-98.7003469,"Colima, Nopaltepec, Estado de México, México"
"Jalisco, San Nicolas Chapala, Mexico",0,0,
"Sacatepéquez, Antigua Guatemala, Guatemala",14.5652616,-90.689325,"Carretera de Antigua a Guatemala, Sacatepéquez, Santa Lucía Milpas Altas, Sacatepéquez, 03009, Guatemala"
"Huasteca, Mexico",21.2642655,-97.7043928,"La Huasteca, Terrenos del Lote ""Zacamixtle"", Tancoco, Veracruz de Ignacio de la Llave, México"
"San Miguel Nonoalco, Mexico",19.5536293,-98.866456,"Nonoalco, Chiautla, Estado de México, 56270, México"
"Veracruz, Cerro De Las Mesas, Mexico",0,0,
"Copan, Honduras",14.894573600000001,-88.92625890244373,"Copán, Honduras"
"Oaxaca, Misteca, Mexico",0,0,
"Bonacca Island, Marble Hill, Honduras",0,0,
"Oaxaca, Tillantongo, Mexico",0,0,
"Teoloyucan, Mexico",19.75797385,-99.17303298734157,"Teoloyucan, Estado de México, México"
"Veracruz, San Andres Tuxtla, Mexico",18.440303,-95.2174725,"Veracruz, Prolongación Primitivo R. Valencia, San Andrés Tuxtla, Veracruz de Ignacio de la Llave, 95700, México"
"De La Baie De La Pay, Kitchen Midden, Mexico",0,0,
"Toluca Valley, Tenancingo, Teotla, Mexico",0,0,
"Puebla, Cuetzalan, Zacatipan, Mexico",20.039722,-97.435833,"Zacatipan, Cuetzalan del Progreso, Puebla, México"
"Sacabaja, Mexico",0,0,
"Roatan Island, Jonesville Bight, Honduras",0,0,
"San Juan Teotihuacán, West Of Superpuestos, Mexico",0,0,
"Nayarít, Ixtlán, Mexico",21.4754218,-104.8769678,"Ixtlán, Infonavit Los Fresnos, Tepic, Municipio de Tepic, Nayarit, 63197, México"
"Quiché, Guatemala",15.4195605,-90.9460526,"Quiché, Guatemala"
"Mexico City, Cathedral, Mexico",27.9084759,-110.9009884,"Cathedral, Guaymas, Sonora, 85400, México"
"Santiago Ahuitzotla, El Corral, South, Mexico",0,0,
"Zacapa, Guatemala",14.9661596,-89.5180314,"Zacapa, Guatemala"
