Id,Acquisition Year,Acquisition Type,Latitude,Longitude,Country,Locale
30 / 63,1896,,0,0,,
30 / 64,1896,,0,0,,
30 / 66,1896,,15.199999,-86.241905,Honduras,Copan
30 / 67,1896,,15.199999,-86.241905,Honduras,Copan
30 / 68,1896,,0,0,,
30 / 69,1896,,0,0,,
30 / 70,1896,,0,0,,
30 / 71,1896,,0,0,,
30 / 72,1896,,0,0,,
30 / 74,1896,,0,0,,
30 / 75,1881,Gift,9.748917,-83.753428,Costa Rica,
30 / 76,1896,,15.783471,-90.230759,Guatemala,Quiché
30 / 84,1896,,0,0,,
30 / 86,1896,,0,0,,
30 / 87,1896,,0,0,,
30 / 89,1896,,12.865416,-85.207229,Nicaragua,"Lake Nicaragua, Ometepe Island"
30 / 90,1896,,0,0,,
30 / 93,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, Zaachila"
30 / 94,1896,Gift,23.634501,-102.552784,Mexico,Oaxaca
30 / 95,1896,Gift,23.634501,-102.552784,Mexico,Oaxaca
30 / 96,1896,Gift,23.634501,-102.552784,Mexico,Oaxaca
30 / 98,1896,Gift,23.634501,-102.552784,Mexico,Oaxaca
30 / 99,1896,Gift,23.634501,-102.552784,Mexico,Oaxaca
30 / 100,1896,Gift,23.634501,-102.552784,Mexico,Oaxaca
30 / 101,1896,Gift,23.634501,-102.552784,Mexico,Oaxaca
30 / 102,1896,Gift,23.634501,-102.552784,Mexico,Oaxaca
30 / 103,1896,Gift,23.634501,-102.552784,Mexico,Oaxaca
30 / 104,1896,Gift,23.634501,-102.552784,Mexico,Oaxaca
30 / 105,1896,Gift,23.634501,-102.552784,Mexico,Oaxaca
30 / 106,1896,Gift,23.634501,-102.552784,Mexico,Oaxaca
30 / 109,1896,Gift,23.634501,-102.552784,Mexico,Oaxaca
30 / 110,1896,Gift,23.634501,-102.552784,Mexico,Oaxaca
30 / 112,1896,Gift,23.634501,-102.552784,Mexico,Oaxaca
30 / 113,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, Zaachila"
30 / 114,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, Zaachila"
30 / 115,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, Zaachila"
30 / 117,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, Zaachila"
30 / 118 A01,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, Xoxocotlán"
30 / 118 A02,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, Xoxocotlán"
30 / 118 A03,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, Xoxocotlán"
30 / 118 A04,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, Xoxocotlán"
30 / 118 A05,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, Xoxocotlán"
30 / 118 A06,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, Xoxocotlán"
30 / 118 A07,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, Xoxocotlán"
30 / 118 A08,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, Xoxocotlán"
30 / 118 A09,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, Xoxocotlán"
30 / 118 A10,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, Xoxocotlán"
30 / 119 A01,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, Xoxocotlán"
