text,count
"BEAD, METAL",30
"WOOD, COATING, METAL",30
"WOOD, METAL (COPPER, IRON), COATING",30
"PL.FIBER, WOOD, FEATHER, METAL, PITCH",30
"PLANT FIBER, HIDE, FUR, WOOD, COATING, METAL",30
"HIDE, FUR, PLANT FIBER, METAL, WOOD, DYE, CORD",30
"LEAF (PALM), CORD",29
"CANE, WOOD, PLANT FIBER, BONE",29
"WOOD, PAINT",29
"BARK, PLANT FIBER",29
"WOOD, PIGMENT, FEATHER",29
WICKER,29
STONE (LIMESTONE),29
"BAMBOO, WOOD, PLANT FIBER, VEGETABLE GUM?/PARANINIUM NUT PASTE?",29
"WOOD, PIGMENT, SINEW",29
STONE?,29
"BEADS (GLASS), STRING",29
STONE (MARBLE),29
"TWIGS, PLANT FIBER",29
"METAL (IRON, COPPER)",29
"WOOD, PIGMENT (PAINT), STRING, HIDE (LEATHER)",29
"BAMBOO, WOOD, STRING, BARK, FEATHER, RESIN",29
"STRING (COTTON), THREAD, PAPER",29
GOURD (CALABASH),29
"PLANT FIBER, CORD, DYE",29
"WOOD, LEAVES, COATING",29
"WOOD, METAL (IRON), FEATHER, PL FIBER, PITCH",29
"WOOD, METAL, HIDE, SINEW, PLANT FIBER, DYE, FE",29
SERPENTINE,29
"SHELL (COCONUT), PLANT FIBER",28
"SHELL (COCONUT), WOOD",28
"WOOD, PIGMENT, CLOTH",28
"WOOD, STRING (PLANT FIBER)",28
PLANT FIBER (REED),28
"WOOD, HIDE, STONE",28
"HIDE, CLOTH, SINEW",28
"METAL, HORN",28
"HIDE, CLOTH",28
"WOOD, IVORY",28
"WOOD, METAL, HIDE, PLANT FIBER",28
"CLAY, GLAZE (BLUE AND WHITE)",28
"WOOD, PIGMENT, GILT",28
IRON,28
"BONE, COATING",28
"PLANT FIBER, DYE, WOOD",28
"COTTON, DYE (SHELLFISH)",28
"WOOD, PLANT FIBER, DYE",27
"WOOD, TWINE",27
"GOURD, STRING",27
BARK (INNER),27
WOOD (EBONY),27
STONE (BASALT),27
"PLANT FIBER, HIDE, PIGMENT?",27
TOOTH (BEAR),27
"WOOD, BONE, HIDE",27
"WOOD, LEAVES",27
PLANT FIBER (CANE),27
"CARDBOARD, PIGMENT",27
WAX,27
"WOOD, PIGMENT (STAIN)",27
PLANT FIBER (ABACA),27
WOODEN,27
"CLOTH, SILK, PIGMENT, THREAD, CORD",27
JADE (GREEN),27
"WOOD, GLASS, FEATHER, SINEW, RESIN",27
"LEAF (BURITÍ PALM), CORD (PALM FIBER)",27
"WOOD, METAL, LEAF, STAIN",27
"LEATHER, CORD, SHELL (EGG), BEAD, WOOD, SINEW",27
"SERPENTINE, JADEITIE",27
"BAMBOO, PLANT FIBER, WOOD",26
"BONE, PLANT FIBER",26
SHELL (SNAIL),26
"WOOD, BEAD",26
"WOOD, PIGMENT, ROOT, CANE",26
"BARK, WOOD",26
"WOOD, CLAY",26
"CANE, WOOD, BAMBOO",26
WOOD (PALMA BRAVA),26
"COCONUT FIBER, TAMBU SHELLS, GLASS BEADS",26
STONE (JADE?),26
"WOOD, METAL, FEATHERS, SINEW, PIGMENT",26
"WOOD, STRING, METAL",26
"METAL, BONE",26
MINERAL (METAL),26
"WOOD, STRING, PIGMENT",26
"PLANT FIBER (CORN HUSK, HEMP), YARN (WOOL), HIDE",26
"PLANT FIBER, LEAVES",26
"CORN, COB",26
CORN HUSK,26
STRING (COTTON),26
"LEAVES, PLANT FIBER",26
"STONE, CLAY",26
"CLOTH (WOOL), DYE",26
"CLAY, GLAZE (POLYCHROME)",26
"FUR, HIDE, CLOTH",26
BIRCH BARK,26
"METAL (BRONZE), PIGMENT, GILT",26
"CLOTH, THREAD, PAPER, INK",26
"BAMBOO, METAL, WOOD",26
"CANE, FEATHER, STRING, BEESWAX",26
YARN: WOOL,26
"CANE, WOOD (PALM), THREAD (COTTON), FEATHER",26
"METAL (IRON), WOOD, STAIN",26
"COATING, WOOD, LEAF, FEATHER, PLANT FIBER",26
"WOOD, LEAF, FEATHER, COATING",26
ST0NE,26
"CLAY, ORANGE AND WHITE PIGMENT",26
"WOOD, LEAF",25
CORAL,25
STRAW,25
"HIDE, FUR, THREAD",25
"BONE, METAL (IRON)",25
MINERAL (CERAMIC),25
"HIDE, BEADS, CLOTH, THREAD",25
STONE (TURQUOISE),25
"METAL (BRASS), PIGMENT",25
"METAL, GILT",25
"CLAY, PIGMENT, GLAZE, PAPER",25
"RATTAN, FIBER (NITU)",25
"WOOD, CURARE",25
"WOOD, HIDE, METAL, PLANT FIBER, CLOTH",25
"WOOD, PLANT FIBER, METAL, COATING",25
"WOOD, COATING, PLANT FIBER",25
"BEAD, CORD, BUTTON (METAL)",25
"GOURD, PITCH, COATING, PLANT FIBER",25
"WOOD, PIGMENT, THORN",25
"WOOD, STRING (COTTON)",24
"SHELL, PLANT FIBER, PIGMENT",24
"CORD, PIGMENT",24
"BONE, STRING",24
"CANE, FIBER, WOOD",24
"CANE, WOOD, BAMBOO, CORD, PIGMENT",24
STONE (SANDSTONE),24
"PLANT FIBER (SPRUCE ROOT, GRASS), PIGMENT",24
STONE (BLACK OBSIDIAN),24
"HIDE, BEADS, CLOTH, SINEW, THREAD",24
WOOD ?,24
"METAL, WOOD, PIGMENT",24
PLANT FIBER (BAMBOO),24
HORN (MUSK-OX),24
CLOTH (VELVET),24
RUBBER,24
RAFFIA,24
"PLANT FIBER, METAL, CORD",24
COWRIE SHELLS,24
"WOOD, METAL, PLANT FIBER, PITCH, FEATHER",24
"BARKCLOTH, WOOD, BARK, PLANT FIBER, LEAF, METAL",24
"PL.FIBER, COWRIE SHELL, BEAD, CORD",24
"HIDE, FUR, WOOD, METAL",24
"WOOD, LEAF, METAL, COATING, PLANT FIBER",24
"GREENSTONE, JADE (?)",24
"COTTON, WOOL, DYE",24
PLANT FIBER (PANDANUS),23
STONE (QUARTZITE),23
SHELL (CONCH),23
BAMBOO?,23
"WOOD, PIGMENT, CANE",23
BONE?,23
"HIDE, WOOD, SINEW",23
"WOOD, FEATHERS, SINEW",23
"WOOD, OPERCULUM",23
"HORN (MOUNTAIN GOAT), METAL",23
"METAL, WOOD, PLANT FIBER",23
PLANT FIBER (RUSH),23
"HIDE, BEADS, SINEW, METAL",23
BONE (DEER),23
"PAPER, PIGMENT (WATERCOLOR?)",23
"GLASS, PIGMENT",23
"WOOD, GLASS, PAPER, CLOTH, CLAY, LACQUER, FEATHER, FOIL, PIGMENT, WIRE, BEAD (GLASS), THREAD",23
"PAPER, CLOTH, WOOD, PIGMENT, CORD",23
"WOOD, HIDE, CORD",23
"HIDE (GOAT), PIGMENT, WOOD, STRING",23
"WOOD, METAL (IRON, BRASS, COPPER)",23
"WOOD, PIGMENT (PAINT), METAL (IRON ALLOY)",23
"WOOD (PALM), CORD (PLANT FIBER)",23
"WOOD, HIDE, METAL, PLANT FIBER",23
"STONE, COATING",23
"WOOD, METAL (COPPER, IRON)",23
"WOOD, METAL, FEATHER, COATING",23
"BEAD, CORD, BUTTON",23
"WOOD, SINEW, HIDE, PLANT FIBER, METAL, PITCH",23
"CANE, WOOD, PIGMENT, STRING, GUM?",22
"WOOD, PLANT FIBER, FEATHER",22
SEED POD,22
PLANT FIBER (COCONUT),22
"WOOD (PALM), PLANT FIBER, PIGMENT",22
"HIDE, BEADS (GLASS), SINEW, THREAD",22
"HIDE (SEAL), SINEW",22
ABALONE,22
"PLANT FIBER, BARK, PIGMENT",22
"PLANT FIBER, TWINE",22
"WOOD, PIGMENT, HIDE, SINEW",22
BALEEN,22
"WOOD, STRING, FEATHER",22
"WOOD, METAL, SINEW",22
"HIDE, BEADS, QUILLS, PIGMENT, SINEW",22
"HIDE (RAWHIDE), PIGMENT",22
"WOOD, SINEW, BONE",22
"CERAMIC, PIGMENT?",22
"BEAD, STRING (COTTON)",22
"PLANT FIBER, PIGMENT, YUCCA?, TWIGS?",22
"WOOD, SINEW, METAL",22
"CLOTH, PAPIER MACHE, PIGMENT, WOOD, PAPER, WIRE, STRING, POM-POM",22
"METAL, WOOD, CANE",22
METAL (COPPER ALLOY),22
"HIDE, FUR, CORD",22
"METAL (ALLOY, GOLD, COPPER)",22
"PAPER (PARCHMENT), PIGMENT, STRING, BAMBOO",22
"COTTON, DYE",22
"BAMBOO, WOOD, STRING, FEATHER, RESIN",22
